Query,Clicks,Impressions,CTR,Position
top 10 waterfalls in india,2,171,1.17%,10.25
places to visit in uttarakhand,1,80,1.25%,33.05
shiva temples in uttarakhand,1,16,6.25%,9.69
tourist places in uttarakhand,0,82,0%,54
masuri pic,0,75,0%,2.29
biggest waterfall in india,0,53,0%,17.38
places in uttarakhand,0,36,0%,56.25
estrick,0,29,0%,2.07
pathik avatar,0,28,0%,35
which is the highest waterfall in india,0,26,0%,41.08
places to visit in uttarakhand in winters,0,24,0%,29.62
waterfalls in india,0,23,0%,63.57
places to visit in indonesia,0,20,0%,81.5
forts in india,0,18,0%,76.89
masuri photo,0,16,0%,1
highest waterfall in india,0,15,0%,35.27
camping places near mumbai,0,15,0%,85.33
places to visit in goa,0,14,0%,48
ice lounge saket,0,14,0%,55.79
forts of india,0,14,0%,82.21
kedartal trek height,0,13,0%,78.46
uttarakhand points of interest,0,12,0%,26.08
must visit in indonesia,0,12,0%,94.5
historical forts,0,11,0%,59
masuri photos,0,10,0%,1
masuri pics,0,10,0%,1
pathik,0,10,0%,33.7
best waterfalls in india,0,10,0%,40.5
top 10 waterfall in india,0,9,0%,10.67
top 10 places to visit in uttarakhand,0,9,0%,23.89
waterfall in india,0,9,0%,52.44
tourist places at uttarakhand,0,8,0%,52.5
top 10 places to visit in kerala,0,8,0%,70.62
rishikesh bars,0,8,0%,72.38
new year celebration in rishikesh,0,8,0%,91.38
accessories for bikers,0,7,0%,5.29
lord shiva temple in uttarakhand,0,7,0%,11.14
top 10 waterfalls,0,7,0%,48.14
waterfalls in karnataka,0,7,0%,61.86
body surfing in rishikesh,0,7,0%,62
biggest mall in uttarakhand,0,6,0%,10.17
waterfalls in uttarakhand,0,6,0%,18.5
waterfalls in rajasthan,0,6,0%,24.83
places to visit in uttarakhand in winter,0,6,0%,33.67
uttarakhand places to visit,0,6,0%,35.33
भारत दर्शन स्पेशल टूरिस्ट ट्रेन 2019,0,6,0%,35.67
most beautiful places in uttarakhand,0,6,0%,36.33
romantic places in delhi,0,6,0%,38.17
places to see in goa,0,6,0%,51
top 10 highest mountains in the world,0,6,0%,82
places to see in indonesia,0,6,0%,99
sdfsfsfd,0,5,0%,8.6
highest waterfall of india,0,5,0%,36
baijnath temple uttarakhand,0,5,0%,59
places to visit in maharashtra,0,5,0%,60.2
best places to visit in goa,0,5,0%,68.6
place to visit in bengaluru,0,5,0%,70.4
zipline in mussoorie,0,5,0%,76.4
pentagon mall dehradun,0,4,0%,11
jammu and kashmir points of interest,0,4,0%,19.75
10 places to visit in uttarakhand,0,4,0%,20.5
places to visit in jammu,0,4,0%,23.5
lal tibba height,0,4,0%,37.25
the highest waterfall in india,0,4,0%,42.75
places to see in uttarakhand,0,4,0%,48.5
best new year party in india,0,4,0%,49.75
tourist places in uttrakhand,0,4,0%,50
body surfing rishikesh,0,4,0%,51
places to visit near jog falls,0,4,0%,51.25
places of uttarakhand,0,4,0%,57
best places to celebrate new year in india,0,4,0%,60
famous forts in india,0,4,0%,70.5
place to visit in indonesia,0,4,0%,76
best 10 places to visit in thekkady,0,4,0%,79
cliff jumping rishikesh height,0,4,0%,80
trekking places in mussoorie,0,4,0%,80.25
cliff jumping height in rishikesh,0,4,0%,82.75
height of cliff jumping in rishikesh,0,4,0%,82.75
visit goa,0,4,0%,82.75
beautiful places in indonesia,0,4,0%,91
नेहरू ट्रॉफी,0,3,0%,2
biggest waterfall india,0,3,0%,6
most beautiful waterfalls in india,0,3,0%,13.67
top 10 places to visit in jammu and kashmir,0,3,0%,17.67
66वें राष्ट्रीय फिल्म पुरस्कार विजेता,0,3,0%,18.33
top 10 places in uttarakhand,0,3,0%,18.33
top 10 tourist places in jammu and kashmir,0,3,0%,20.67
biggest waterfalls in india,0,3,0%,25.67
top 10 places to visit in goa,0,3,0%,27.67
dakshinayan juhu,0,3,0%,28.33
water falls in india,0,3,0%,28.67
